Group,Long,Short,Pic
G1,Arabidopsis thaliana,A.thaliana,../../logo_group/Arabidopsis_thaliana.png
G2,Caenorhabditis elegans,C.elegans,../../logo_group/Caenorhabditis_elegans.png
G3,Danio rerio,D.rerio,../../logo_group/Danio_rerio.png
G4,Drosophila melanogaster,D.melanogaster,../../logo_group/Drosophila_melanogaster.png
G5,Callithrix jacchus,C.jacchus,../../logo_group/Callithrix_jacchus.png
G6,Mus musculus,M.musculus,../../logo_group/Mus_musculus.png
G7,Octopus bimaculoides,O.bimaculoides,../../logo_group/Octopus_bimaculoides.png
G8,Papilio polytes,P.polytes,../../logo_group/Papilio_polytes.png
G9,Spinosaurus aegyptiacus,S.aegyptiacus,../../logo_group/Spinosaurus_aegyptiacus.png
G10,Tetrahymena thermophila,T.thermophila,../../logo_group/Tetrahymena_thermophila.png
G11,Tiktaalik rosea,T.roseae,../../logo_group/Tiktaalik_roseae.png
G12,Xenopus laevis,X.laevis,../../logo_group/Xenopus_laevis.png
