GeneSymbol,GeneName,logFC,AveExpr,t.stat,p.value,adj.p.val,Regulation
NFKBIZ,NFKB inhibitor zeta,0.611689231766661,5.86420495860449,16.2408949689005,4.85001630015278E-55,1.90974241834816E-50,Up
SAA2-SAA4,SAA2-SAA4 readthrough,1.97281764099035,-2.90367091680035,16.1890060499489,1.0022745083137E-54,1.97327805196802E-50,Up
AR,androgen receptor,-0.999393554490303,0.572127313617953,-15.7814062019872,2.83220661381408E-52,3.71736558751811E-48,Down
TAP1,"transporter 1, ATP binding cassette subfamily B member",0.675602256675682,7.31861515918105,15.7517440407664,4.25344826929761E-52,4.18709447629657E-48,Up
IL17A,interleukin 17A,1.35130844232126,-3.82558045431917,15.6259422084674,2.3720061607683E-51,1.86800229172825E-47,Up
IL15RA,interleukin 15 receptor subunit alpha,0.482360782478945,3.26271820978326,15.2674580245538,3.00566971392509E-49,1.97252084425857E-45,Up
TMPRSS3,transmembrane serine protease 3,0.939324961496327,0.892863338060564,15.2512429087821,3.73428992077499E-49,2.1005914274348E-45,Up
CASP10,caspase 10,0.542990711784022,6.45893307076045,15.1894285522489,8.5287822372647E-49,4.19786661718169E-45,Up
PARP9,poly(ADP-ribose) polymerase family member 9,0.618748687371433,6.14188593839296,14.9978245526644,1.08592153807089E-47,4.28675333054231E-44,Up
EYS,eyes shut homolog,-0.424294289897197,2.25157736246189,-14.9976331636776,1.08867160974764E-47,4.28675333054231E-44,Down
P3R3URF-PIK3R3,P3R3URF-PIK3R3 readthrough,0.485639425507527,2.76560673553451,14.8028662705188,1.41025037974986E-46,5.0481835411846E-43,Up
IRF1,interferon regulatory factor 1,0.653597508075142,6.93352881487241,14.745502889441,2.98430321238148E-46,9.79249360756111E-43,Up
SAA4,"serum amyloid A4, constitutive",1.20070993513858,-4.51366356354704,14.689208826254,6.21434794779375E-46,1.8822781907102E-42,Up
PIK3R3,phosphoinositide-3-kinase regulatory subunit 3,0.481237013950438,3.28137217794611,14.5856747088342,2.38157225059183E-45,6.25178592928694E-42,Up
SLC6A15,solute carrier family 6 member 15,-1.46854597803941,-3.05013968904603,-14.5908112169637,2.22838629337285E-45,6.25178592928694E-42,Down
PSMB8-AS1,PSMB8 antisense RNA 1 (head to head),0.560296281202111,4.75456913599944,14.3981836584269,2.66379590182837E-44,6.55560171439962E-41,Up
NLRC5,NLR family CARD domain containing 5,0.641946022762098,6.07636220229962,14.3336758735329,6.07999576832442E-44,1.4082700786679E-40,Up
C2,complement C2,1.03847312822654,5.0998011648689,14.238524900529,2.04320151500364E-43,4.45832565652117E-40,Up
SAA2,serum amyloid A2,2.36041743312468,-1.79740077373571,14.2344683431372,2.1512644116696E-43,4.45832565652117E-40,Up
DMRTA1,DMRT like family A1,-1.17634166187706,1.2896941989155,-14.1542518432182,5.94693718653302E-43,1.17083299328462E-39,Down
IPO5P1,importin 5 pseudogene 1,-0.490930144864933,4.4165751395813,-14.0471056218862,2.2969297430908E-42,4.06577498453019E-39,Down
HIF1A,hypoxia inducible factor 1 subunit alpha,0.418581877639948,7.00050724298559,14.0486603262252,2.2524593455773E-42,4.06577498453019E-39,Up
CASP1,caspase 1,0.70957679783175,6.36239599382153,14.0294272034396,2.86843058824876E-42,4.7061384517868E-39,Up
C2CD4A,C2 calcium dependent domain containing 4A,1.24328569327179,0.633379531459832,14.0444517723521,2.37486856573025E-42,4.06577498453019E-39,Up
ZC3H12B,zinc finger CCCH-type containing 12B,-0.306697852152417,4.01767925224497,-14.0213209142411,3.17585517090694E-42,5.00209892838527E-39,Down
DUOX2,dual oxidase 2,2.17472646612539,4.60972968027645,13.9988824287902,4.20872054561946E-42,6.37394539247354E-39,Up
DPP10,dipeptidyl peptidase like 10,-1.52209849548851,1.98170780276343,-13.9867648513911,4.89922920717078E-42,7.14489071339099E-39,Down
