"POSITION_X	",POSITION_Y,POSITION_T
1300.718,628.224,1
1301.087,628.095,2
1302.697,627.025,3
1288.327,622.11,9
1287.499,621.165,10
1288.306,600.733,11
1289.691,601.866,12
1290.71,601.826,13
1294.612,601.625,14
1295.01,601.414,15
1296.853,599.248,16
1299.613,595.734,17
1300.157,594.565,18
1299.287,594.637,19
1301.963,595.547,20
1305.347,593.782,21
1305.278,593.474,22
1305.339,592.243,23
1304.916,593.187,24
1304.468,591.762,25
1304.783,591.812,26
1303.145,591.105,27
1303.32,591.182,28
1302.21,592.904,29
1300.455,595.347,30
1300.353,601.841,31
1305.245,598.377,33
1308.659,600.218,34
1307.54,602.759,35
1314.99,605.845,36
1316.393,609.244,37
1317.192,611.801,38
1317.313,611.903,39
1315.748,610.182,40
1313.612,613.695,41
1318.089,616.643,42
1316.763,617.538,43
1312.159,620.107,45
1309.405,621.971,46
1317.001,625.813,47
1312.096,623.777,48
1318.171,626.321,49
1318.126,627.659,50
1315.889,663.089,61
1316.585,664.866,62
1316.06,665.834,63
1316.892,664.546,64
1316.342,664.698,65
1316.053,661.857,66
1316.671,652.867,67
1314.458,647.002,68
1302.834,654.538,72
1302.604,653.978,73
1303.62,654.026,74
1303.537,654.508,75
1303.14,653.307,76
1304.248,653.701,77
1308.509,649.894,78
1304.467,650.591,80
1298.426,651.115,81
1296.48,649.702,82
1296.888,648.555,83
1297.779,647.399,84
1305.374,647.61,93
1305.346,649.209,94
1318.788,643.674,95
1312.285,645.814,96
1319.545,646.312,97
1320.346,644.048,98
1318.211,642.402,99
1317.637,642.443,100
1318.078,653.064,101
1317.265,651.444,102
1317.31,653.029,103
1316.689,654.468,104
1316.719,654.67,105
1310.551,684.943,118
1311.811,685.938,119
1312.162,685.869,120
1306.256,713.126,129
1306.869,713.239,130
1307.465,716.837,131
1296.307,717.702,132
1300.493,716.439,133
1293.966,706.943,136
1294.283,707.213,137
1292.592,707.044,139
1293.033,707.38,140
1304.349,708.277,142
