POSITION_X,POSITION_Y,POSITION_T
520.696,957.596,0
514.874,959.647,1
505.311,963.891,2
501.638,962.134,3
504.806,949.651,4
504.352,939.762,5
499.234,933.382,6
507.048,916.913,7
515.228,912.143,8
519.393,909.834,9
520.324,910.677,10
526.572,913.441,11
531.745,909.958,12
540.813,913.309,13
538.045,919.912,14
534.723,934.908,15
533.923,942.956,16
527.569,947.827,17
515.171,955.084,18
510.803,959.017,19
507.314,957.18,20
499.822,947.534,21
493.13,940.311,22
488.281,933.072,23
489.557,932.814,24
490.914,927.745,25
490.543,917.674,26
492.291,915.954,27
501.582,925.193,28
512.488,928.385,29
524.015,932.758,30
520.559,936.541,31
521.155,945.635,32
516.958,958.225,33
510.62,963.113,34
506.24,968.204,35
499.804,968.847,36
490.439,971.686,37
496.512,966.057,38
497.3,953.823,39
497.094,943.41,40
502.158,929.556,41
500.687,931.896,42
513.381,936.684,43
522.154,937.572,44
534.977,944.887,45
536.466,954.15,46
539.756,960.206,47
535.861,973.383,48
533.447,980.336,49
524.946,991.735,50
522.938,991.198,51
522.97,988.702,52
517.453,988.996,53
510.334,988.549,54
496.356,981.028,55
489.816,974.247,56
487.702,969.839,57
481.231,962.231,58
482.305,958.349,59
486.507,964.745,60
503.87,968.003,61
500.277,965.239,62
495.404,979.123,63
472.618,968.855,64
464.73,962.032,65
461.296,950.318,66
462.46,939.609,67
464.215,933.638,68
471.152,929.333,69
482.657,924.291,70
491.826,930.433,71
496.35,933.645,72
496.631,946.202,73
498.135,954.562,74
489.853,967.173,75
483.754,967.44,76
478.44,967.987,77
469.864,970.218,78
454.582,964.442,79
450.204,954.028,80
450.711,947.339,81
452.715,938.032,82
464.025,924.519,83
482.592,925.743,84
491.074,927.573,85
503.774,940.373,86
507.905,948.354,87
508.05,958.371,88
507.376,967.038,89
504.865,973.959,90
489.724,963.004,91
484.496,960.255,92
473.787,949.328,93
469.764,942.065,94
472.068,932.465,95
476.133,925.239,96
479.345,919.118,97
484.731,912.615,98
498.137,911.719,99
509.62,910.22,100
514.791,915.291,101
517.173,913.484,102
526.762,924.161,103
530.92,937.778,104
531.672,946.084,105
527.278,946.714,106
523.971,965.913,107
520.67,966.82,108
513.493,972.248,109
505.135,975.129,110
503.994,971.128,111
498.869,959.036,112
492.127,944.155,113
491.333,938.58,114
492.447,935.478,115
496.058,929.462,116
499.719,921.83,117
505.929,919.473,118
508.526,917.212,119
518.086,916.708,120
523.697,913.445,121
539.887,916.968,122
546.038,916.797,123
544.748,919.492,124
545.202,917.166,125
542.804,918.782,126
540.357,924.705,127
543.724,933.574,128
542.959,940.964,129
542.524,948.452,130
540.583,948.85,131
528.287,943.666,132
514.949,941.857,133
512.369,941.949,134
505.508,937.843,135
504.852,933.288,136
501.914,926.194,137
499.743,919.652,138
501.246,911.482,139
504.053,908.043,140
504.144,903.944,141
513.236,899.803,142
527.316,895.527,143
531.699,894.053,144
530.057,898.275,145
535.704,898.245,146
550.165,902.841,147
548.317,904.745,148
549.373,906.314,149
547.217,908.753,150
549.466,908.504,151
526.226,902.44,152
517.526,902.656,153
504.623,893.218,154
504.439,889.877,155
506.201,881.532,156
511.581,876.223,157
526.589,868.128,158
535.774,869.855,159
541.025,869.088,160
521.993,883.726,161
519.001,882.263,162
499.706,866.25,163
496.895,859.084,164
498.296,848.05,165
507.148,835.512,166
515.386,828.614,167
525.28,826.651,168
525.336,829.033,169
519.703,833.162,170
523.665,847.015,171
517.929,862.502,172
513.851,862.302,173
510.574,865.06,174
506.793,865.104,175
509.115,857.45,176
503.018,835.101,177
501.731,830.073,178
509.498,824.076,179
513.344,820.792,180
527.242,817.813,181
533.434,814.064,182
538.066,817.779,183
538.086,822.222,184
534.227,822.619,185
537.276,832.693,186
534.467,841.408,187
528.5,854.158,188
523.905,860.614,189
517.625,866.16,190
511.121,870.515,191
509.758,868.89,192
519.437,847.3,193
527.788,842.96,194
536.003,845.828,195
543.873,843.208,196
556.139,851.926,197
557.544,856.408,198
557.33,856.506,199
537.561,859.871,200
542.196,858.795,201
533.967,844.593,202
528.74,830.672,203
535.273,815.141,204
541.737,808.15,205
555.073,800.95,206
553.456,800.816,207
550.861,815.597,208
548.163,832.866,209
544.921,839.339,210
539.223,840.804,211
526.597,846.323,212
523.11,841.136,213
528.245,825.043,214
527.603,816.682,215
530.618,809.147,216
532.641,808.662,217
533.733,812.304,218
545.688,807.183,219
552.444,807.929,220
560.032,806.643,221
568.255,808.67,222
579.622,816.067,223
585.54,822.288,224
588.053,819.383,225
563.674,822.821,226
560.512,824.159,227
548.488,820.842,228
541.739,814.573,229
535.27,810.115,230
541.863,796.494,231
538.994,805.213,232
559.022,818.693,233
556.836,829.751,234
552.316,836.229,235
546.156,841.977,236
532.921,844.806,237
526.365,843.766,238
520.383,837.921,239
515,834.768,240
508.985,825.335,241
509.2,809.83,242
518.812,798.095,243
524.33,794.981,244
531.609,794.897,245
548.155,804.478,246
554.145,811.065,247
556.341,813.162,248
548.563,811.613,249
525.335,814.027,250
521.348,808.858,251
510.175,797.606,252
510.734,782.166,253
517.628,774.01,254
524.107,768.871,255
532.889,763.17,256
540.477,760.492,257
543.166,761.645,258
547.654,761.739,259
550.993,761.379,260
551.599,764.694,261
548.778,761.304,262
529.419,776.388,263
524.906,775.453,264
519.244,774.085,265
508.157,766.374,266
506.794,761.538,267
502.351,745.127,268
506.622,741.86,269
512.682,734.25,270
519.918,734.557,271
537.729,736.682,272
548.149,752.22,273
549.538,759.809,274
547.411,771.773,275
526.462,756.606,276
531.817,756.603,277
538.085,735.247,278
539.319,728.115,279
552.959,747.793,280
551.98,757.146,281
553.941,764.015,282
550.113,780.419,283
545.955,791.354,284
542.314,794.416,285
537.541,795.264,286
535.254,796.496,287
539.214,791.298,288
535.287,763.965,289
534.051,754.454,290
534.287,748.749,291
538.244,747.859,292
549.259,742.399,293
539.819,761.533,294
541.434,758.389,295
524.299,752.041,296
508.131,748.285,297
511.472,749.478,298
525.203,733.446,299
538.078,731.164,300
548.398,729.37,301
556.116,731.128,302
558.417,731.733,303
551.85,744.762,304
554.581,753.165,305
552.908,757.793,306
551.728,757.623,307
548.012,765.084,308
544.095,770.505,309
538.83,773.824,310
542.384,770.383,311
530.036,753.274,312
520.234,745.999,313
521.418,743.824,314
519.761,744.815,315
517.975,736.502,316
520.122,733.671,317
521.166,730.994,318
523.443,732.249,319
525.556,728.084,320
536.092,714.829,321
539.382,716.968,322
540.986,721.045,323
542.716,720.886,324
542.437,723.808,325
540.457,728.254,326
547.364,731.117,327
551.301,737.261,328
549.414,744.74,329
546.301,743.843,330
535.028,730.335,331
525.977,723.951,332
518.08,713.517,333
519.021,708.516,334
526.926,720.934,335
534.066,730.316,336
529.66,740.111,337
528.147,745.35,338
522.645,749.093,339
511.266,754.058,340
505.619,755.137,341
504.266,754.598,342
515.021,742.76,343
526.516,733.795,344
530.906,740.413,345
537.675,742.527,346
543.613,747.43,347
547.461,759.177,348
547.66,765.398,349
545.155,765.59,350
529.886,757.943,351
518.926,755.439,352
510.355,751.692,353
507.671,747.596,354
510.195,741.608,355
512.194,739.751,356
515.074,737.777,357
515.796,735.044,358
523.009,735.281,359
524.25,736.891,360
525.054,736.556,361
524.523,758.242,362
518.843,769.797,363
515.33,774.421,364
508.673,779.975,365
507.474,778.811,366
512.429,771.447,367
514.683,759.813,368
512.614,760.272,369
526.106,768.224,370
533.989,772.124,371
535.804,785.11,372
529.625,794.283,373
526.481,798.938,374
522.483,800.682,375
511.911,801.722,376
506.951,797.732,377
504.956,793.039,378
496.52,788.352,379
494.24,774.835,380
499.497,766.633,381
510.934,757.963,382
523.379,755.916,383
528.746,762.22,384
525.433,759.847,385
505.195,772.369,386
498.025,773.738,387
491.218,774.686,388
484.068,767.538,389
473.976,757.61,390
471.478,754.387,391
468.67,741.017,392
469.111,738.19,393
470.207,738.299,394
486.06,750.806,395
490.226,755.594,396
494.837,760.436,397
498.368,767.212,398
498.732,780.547,399
495.128,785.266,400
490.194,790.896,401
488.403,781.524,402
495.574,770.572,403
513.896,762.54,404
519.359,765.52,405
528.544,766.292,406
540.335,777.473,407
542.467,785.131,408
544.584,786.682,409
543.502,800.514,410
541.522,806.885,411
529.806,793.583,412
533.459,792.606,413
539.366,777.177,414
547.624,762.72,415
553.412,756.546,416
567.888,755.311,417
576.586,755.609,418
581.471,761.179,419
586.84,765.89,420
587.83,781.287,421
580.728,791.97,422
574.813,795.64,423
568.581,798.692,424
560.909,800.585,425
548.608,799,426
543.943,792.99,427
533.294,787.869,428
533.999,783.723,429
531.595,781.536,430
532.341,776.884,431
534.876,762.583,432
545.297,747.971,433
554.263,745.615,434
559.21,741.634,435
574.362,743.891,436
575.954,746.622,437
572.581,742.933,438
572.227,759.124,439
571.134,774.032,440
569.397,780.955,441
558.559,790.057,442
552.943,793.466,443
546.886,791.654,444
545.259,793.65,445
538.064,790.641,446
527.24,785.057,447
522.352,782.495,448
523.521,784.233,449
534.877,778.002,450
544.778,762.793,451
554.044,786.675,452
555.811,795.163,453
554.422,808.096,454
551.99,813.509,455
550.242,816.882,456
550.879,817.022,457
550.65,809.408,458
538.444,796.747,459
532.425,790.047,460
530.355,784.927,461
527.495,770.863,462
530.252,775.844,463
546.602,784.628,464
542.245,782.428,465
531.463,796.782,466
521.681,803.223,467
513.528,804.308,468
499.757,802.873,469
496.983,800.438,470
494.324,799.843,471
493.641,797.031,472
488.999,783.999,473
493.726,777.799,474
498.466,775.762,475
503.946,769.392,476
517.293,774.795,477
524.01,774.686,478
527.723,780.865,479
529.057,788.145,480
526.19,798.717,481
517.135,807.88,482
511.52,811.78,483
500.272,805.701,484
493.834,802.713,485
488.245,797.501,486
487.676,790.341,487
487.697,773.458,488
494.241,767.407,489
497.931,759.645,490
500.93,755.165,491
518.929,750.183,492
530.025,750.194,493
538.914,749.892,494
543.01,753.582,495
547.813,759.643,496
547.943,761.109,497
547.915,760.153,498
545.965,762.877,499
547.69,766.742,500
545.587,767.906,501
548.242,777.441,502
548.38,791.282,503
546.107,797.467,504
546.3,797.802,505
545.313,795.863,506
530.003,783.561,507
524.601,779.134,508
517.294,773.817,509
516.616,767.273,510
521.122,752.224,511
535.599,763.277,512
540.64,761.358,513
540.039,765.951,514
540.927,770.159,515
543.265,779.153,516
544.081,792.818,517
543.503,794.572,518
544.746,793.552,519
544.646,794.804,520
522.98,788.504,521
513.029,788.637,522
519.101,781.371,523
525.262,760.176,524
525.553,754.258,525
527.843,755.607,526
539.177,764.624,527
552.359,772.013,528
551.009,773.543,529
554.216,769.505,530
536.749,778.862,531
526.411,788.18,532
513.244,789.761,533
507.424,785.037,534
495.742,777.13,535
499.457,779.312,536
515.562,773.47,537
521.26,769.466,538
528.18,765.066,539
539.421,766.178,540
542.172,768.661,541
544.292,770.688,542
540.973,773.365,543
523.193,775.335,544
518.587,773.993,545
514.245,772.494,546
508.583,771.917,547
506.443,762.821,548
501.251,755.871,549
502.85,748.141,550
505.886,756.027,551
513.766,775.528,552
512.252,779.963,553
509.604,787.332,554
499.656,796.946,555
500.599,799.006,556
502.311,788.621,557
495.945,774.032,558
495.193,759.956,559
499.275,751.644,560
509.854,750.38,561
522.046,749.884,562
536.421,755.209,563
539.591,761.498,564
534.926,763.969,565
538.04,770.655,566
532.224,786.213,567
529.69,792.385,568
522.93,795.265,569
510.468,802.197,570
504.553,803.87,571
492.104,798.39,572
489.739,793.833,573
483.59,789.305,574
477.264,782.644,575
477.688,778.88,576
474.233,773.073,577
477.628,762.125,578
485.653,754.721,579
491.979,749.369,580
491.686,748.464,581
496.5,768.944,582
504.353,779.607,583
505.735,782.129,584
487.605,784.074,585
472.714,790.386,586
465.788,792.019,587
459.7,793.113,588
456.348,790.421,589
463.233,787.68,590
465.432,772.037,591
464.976,758.6,592
474.062,741.008,593
474.855,739.881,594
472.477,752.263,595
478.907,763.322,596
475.017,770.658,597
470.186,772.609,598
460.3,780.236,599
454.892,779.564,600
443.161,776.621,601
436.079,764.534,602
449.765,762.132,603
457.095,754.803,604
462.708,755.473,605
474.526,763.059,606
473.115,769.418,607
474.57,775.487,608
479.48,781.015,609
474.453,793.314,610
474.271,793.913,611
471.807,788.607,612
458.879,781.333,613
452.58,775.543,614
446.543,763.558,615
450.471,757.468,616
457.431,755.942,617
472.504,748.345,618
471.809,754.308,619
473.274,767.671,620
465.934,779.613,621
458.788,784.161,622
451.536,779.887,623
445.952,777.472,624
440.956,773.375,625
436.528,760.025,626
433.628,755.377,627
452.991,755.96,628
469.319,754.87,629
477.508,756.079,630
486.072,766.142,631
491.616,775.151,632
497.384,780.397,633
495.473,797.547,634
487.665,811.789,635
481.244,814.011,636
475.993,814.295,637
471.018,796.058,638
466.082,790.865,639
457.216,774.405,640
465.543,760.934,641
472.89,759.24,642
481.496,757.806,643
494.139,765.197,644
504.516,780.186,645
508.097,779.767,646
479.051,786.254,647
473.348,789.815,648
465.794,792.148,649
458.014,792.099,650
442.745,788.796,651
429.42,781.521,652
422.021,768.814,653
419.286,762.697,654
425.752,744.565,655
429.829,735.912,656
431.953,725.231,657
433.1,720.694,658
449.433,711.147,659
456.28,707.788,660
464.657,703.36,661
467.845,705.139,662
474.416,709.849,663
474.75,709.43,664
475.695,713.113,665
476.809,715.527,666
471.222,711.067,667
471.157,724.582,668
465.602,732.809,669
462.318,734.559,670
457.842,735.556,671
448.101,737.64,672
443.601,739.603,673
436.43,738.471,674
436.448,738.893,675
435.86,739.259,676
435.249,734.974,677
425.725,727.252,678
423.811,725.024,679
422.98,723.877,680
422.681,721.514,681
420.586,715.714,682
428.505,721.613,683
431.73,716.102,684
434.645,712.804,685
448.563,705.354,686
459.013,710.259,687
463.587,711.203,688
453.113,714.192,689
437.178,714.75,690
424.429,711.984,691
421.359,707.788,692
424.099,710.421,693
436.698,705.221,694
439.256,709.184,695
444.34,720.538,696
440.331,732.039,697
437.94,740.404,698
430.737,743.331,699
421.699,741.113,700
416.099,732.213,701
415.409,729.586,702
410.089,721.251,703
414.143,709.374,704
417.032,701.905,705
422.931,720.306,706
423.625,733.847,707
422.392,742.364,708
419.019,747.52,709
416.687,745.685,710
416.311,741.633,711
400.61,720.156,712
399.194,706.447,713
398.221,704.074,714
400.131,709.735,715
418.478,712.707,716
427.172,715.321,717
442.516,718.855,718
444.887,722.502,719
443.076,722.546,720
440.277,730.391,721
423.614,731.75,722
410.946,739.654,723
406.304,742.061,724
401.837,742.776,725
399.188,741.156,726
396.611,738.921,727
395.404,735.935,728
394.269,733.649,729
396.135,727.381,730
397.083,717.589,731
404.967,706.932,732
409.473,704.915,733
420.749,708.488,734
428.025,708.439,735
432.317,714.494,736
432.31,721.622,737
409.89,720.642,739
404.221,723.503,740
389.487,723.758,741
386.371,724.076,742
385.589,723.23,743
385.566,722.058,744
387.786,724.728,745
401.369,705.072,746
414.469,698.654,747
424.754,698.611,748
424.966,703.632,749
406.931,716.645,750
401.024,726.055,751
394.112,730.811,752
392.672,731.479,753
397.677,721.206,754
404.776,710.141,755
410.904,705.293,756
422.651,706.479,757
426.524,713.777,758
432.115,719.621,759
434.642,723.534,760
431.588,735.159,761
424.267,744.614,762
419.112,752.204,763
415.922,752.96,764
415.131,751.137,765
409.125,750.228,766
408.101,751.144,767
406.933,741.14,768
413.108,740.053,769
420.526,734.241,770
434.93,727.999,771
440.442,729.361,772
448.248,738.861,773
452.344,739.488,774
453.592,746.413,775
450.832,747.967,776
