# This CSV file was created by downloading the Excel spreadsheet
# elife-100574-table3-data1-v1.xlsx from the Marino et al 2025 eLife
# paper (https://doi.org/10.7554/eLife.100574.3), then converting the
# spreadsheet to CSV using Excel.
Clade,Species,TaxId,Phylum,Class,Order,Family,Accession_assembly,BUSCO_Duplicate,Genome_size,MaxLongevity_y,Source_MaxLongevity,Mass_g,Source_mass,MaxLongevity_y_log,Mass_g_log,n_markers_phylter_noshortbr,dN_CM_phylter_noshortbr,dS_CM_phylter_noshortbr,dNdS_CM_phylter_noshortbr,n_markers_trimmed,dN_CM_phylter_noshortbr_trimmed,dS_CM_phylter_noshortbr_trimmed,dNdS_CM_phylter_noshortbr_trimmed,brlen_coevol_gcpoor,dS_coevol_gcpoor,dNdS_coevol_gcpoor,brlen_coevol_gcrich,dS_coevol_gcrich,dNdS_coevol_gcrich,Overall_repeat_bp,Overall_repeat_gsperc,DNA_bp,DNA_gsperc,RC_bp,RC_gsperc,LTR_bp,LTR_gsperc,PLE_bp,PLE_gsperc,LINE_bp,LINE_gsperc,SINE_bp,SINE_gsperc,Retroposon_bp,Retroposon_gsperc,Unknown_bp,Unknown_gsperc,Other_bp,Other_gsperc,DNA_recent_gsperc,LINE_recent_gsperc,LTR_recent_gsperc,Other_recent_gsperc,Overall_TEs_recent_gsperc,PLE_recent_gsperc,RC_recent_gsperc,Retroposon_recent_gsperc,SINE_recent_gsperc,Unknown_recent_gsperc,DNA_recent_bp,LINE_recent_bp,LTR_recent_bp,Other_recent_bp,Overall_TEs_recent_bp,PLE_recent_bp,RC_recent_bp,Retroposon_recent_bp,SINE_recent_bp,Unknown_recent_bp
Actinopteri,Acipenser_ruthenus,7906,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,GCA_010645085.1,69.2,1819080000,46.1,AnAge,8800,AnAge,3.83081295,9.082507,243,0.16226794,1.646024431,0.098581732,267,0.091089262,0.955089453,0.095372493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Alosa_alosa,278164,Chordata,Actinopteri,Clupeiformes,Clupeidae,GCA_017589495.1,3.4,1040171506,10,AnAge,2200,AnAge,2.302585093,7.696212639,750,0.072810745,0.835772749,0.087117874,847,0.071627581,0.851056611,0.084163121,0.399485,0.617282,0.101877,0.382702,0.672561,0.0666301,271271996,26.26,22169720,2.14,1543580,0.14,5604996,0.54,2076364,0.2,17471428,1.69,3306356,0.32,32448,NA,211585484,20.48,7481620,0.72,1.374322308,1.442877244,0.433840994,NA,18.8041999,0.152368181,0.089830606,0.002471416,0.130017982,15.17847117,14295309,15008398,4512690,NA,195595929,1584890,934392,25707,1352410,157882132
Actinopteri,Coilia_nasus,365059,Chordata,Actinopteri,Clupeiformes,Engraulidae,GCA_007927625.1,3.1,988808384.5,NA,NA,NA,NA,NA,NA,716,0.079710739,0.900249875,0.088542905,807,0.077441988,0.910644154,0.085040888,0.399485,0.65441,0.140927,0.382702,0.704167,0.0727599,287107128,29.27,30609940,3.12,3459748,0.35,11665908,1.18,442896,0.04,21197440,2.16,2848464,0.29,390736,0.03,212823184,21.69,3668812,0.37,1.782557617,1.664224555,0.910308247,NA,18.45775415,0.021833777,0.231407988,0.027141989,0.08332891,13.7366506,17626079,16455992,9001204,NA,182511821,215894,2288182,268382,823963,135829153
Actinopteri,Denticeps_clupeoides,299321,Chordata,Actinopteri,Clupeiformes,Denticipitidae,GCA_900700375.2,8.5,692590625.1,NA,NA,NA,NA,NA,NA,732,0.138414822,1.674759392,0.082647587,829,0.135217669,1.709216408,0.079110912,0.774449,0.76567,0.102934,0.767627,0.757437,0.0614366,125074688,18.18,18225672,2.65,28252,NA,4177632,0.6,144044,0.02,9641632,1.4,8029888,1.16,255948,0.03,77097696,11.21,7473924,1.08,1.18622593,0.746864805,0.433140663,NA,10.43621815,0.015633006,0.002946535,0.024227067,0.65126611,7.375832192,8215690,5172716,2999892,NA,72280269,108273,20407,167794,4510608,51084322
Actinopteri,Ameiurus_melas,219545,Chordata,Actinopteri,Siluriformes,Ictaluridae,GCA_012411365.1,2.7,1075800000,10,AnAge,1995.5,AnAge,2.302585093,7.598649924,786,0.023244602,0.17621551,0.131910078,890,0.022816657,0.178970132,0.127488633,0.066323,0.836513,0.210303,0.0705192,0.905458,0.0968678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Ictalurus_punctatus,7998,Chordata,Actinopteri,Siluriformes,Ictaluridae,GCA_001660625.2,6,1026900000,16,AnAge,13732.5,AnAge,2.772588722,9.527520565,755,0.017191379,0.123742624,0.138928516,863,0.0170465,0.129454185,0.13167979,0.066323,0.578366,0.204719,0.0705192,0.581822,0.0998185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Pangasianodon_hypophthalmus,310915,Chordata,Actinopteri,Siluriformes,Pangasiidae,GCA_009078355.1,2.5,924435667.3,NA,NA,44000,FishBase,NA,10.69194491,796,0.031440106,0.24232914,0.129741333,901,0.03078102,0.245971784,0.12514045,0.213745,0.356978,0.183271,0.206009,0.397869,0.0991333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Silurus_meridionalis,175797,Chordata,Actinopteri,Siluriformes,Siluridae,GCA_014805685.1,2,904593859.6,NA,NA,10800,FishBase,NA,9.287301413,787,0.071709289,0.703424945,0.101943056,892,0.069889847,0.710807921,0.098324519,0.249758,0.919033,0.143137,0.251424,0.988562,0.0874135,249910208,27.82,65700688,7.31,857272,0.09,16473068,1.83,135448,0.01,29146400,3.24,2296432,0.25,189040,0.02,130299308,14.5,4812552,0.53,2.076606595,1.369973737,0.767131407,NA,11.05359939,0.011083236,0.056395915,0.009797336,0.037229877,6.725381285,18784856,12392698,6939424,NA,99990181,100258,510154,88626,336779,60837386
Actinopteri,Bagarius_yarrelli,175774,Chordata,Actinopteri,Siluriformes,Sisoridae,GCA_005784505.1,1.7,696692420.8,NA,NA,NA,NA,NA,NA,784,0.080753456,0.824400908,0.097954109,886,0.078944778,0.835247421,0.094516638,0.3106,0.9308,0.136693,0.304125,0.926808,0.0735087,135388572,19.6,31798652,4.6,38680,NA,6592824,0.95,25580,NA,17627876,2.55,5166836,0.74,95360,0.01,67487976,9.77,6554788,0.94,0.731267026,1.288987657,0.55126885,NA,8.345737263,0.001498899,0.003062967,0.002411272,0.149629186,5.617611407,5094682,8980279,3840648,NA,58144119,10443,21339,16799,1042455,39137473
Actinopteri,Beaufortia_kweichowensis,241442,Chordata,Actinopteri,Cypriniformes,Gastromyzontidae,GCA_019155185.1,2.6,548740786.8,NA,NA,NA,NA,NA,NA,796,0.058725873,0.525121486,0.111832927,902,0.057663585,0.528846281,0.109036571,0.324814,0.47706,0.17332,0.321528,0.495086,0.0986367,99229884,18.21,14227104,2.61,822840,0.15,8677100,1.59,3976,NA,8054032,1.47,409480,0.07,16496,NA,65345304,11.99,1673552,0.3,0.945240593,1.127503005,1.044026406,NA,12.85756844,0.000620644,0.067960502,0.001965372,0.040031529,9.630220391,5186921,6187069,5728999,NA,70554722,3406,372927,10785,219669,52844947
